  Lines          Copies       Function name
  -----          ------       -------------
  183182 (100%)  6175 (100%)  (TOTAL)
   18884 (10.3%)   62 (1.0%)  <chumsky::combinator::Then<A,B> as chumsky::Parser<I,(O,U)>>::parse_inner
   16940 (9.2%)    35 (0.6%)  <chumsky::combinator::Or<A,B> as chumsky::Parser<I,O>>::parse_inner
   13116 (7.2%)   216 (3.5%)  core::result::Result<T,E>::map
   11550 (6.3%)   105 (1.7%)  <chumsky::combinator::Or<A,B> as chumsky::Parser<I,O>>::parse_inner::zip_with
    8188 (4.5%)    40 (0.6%)  <chumsky::combinator::Repeated<A> as chumsky::Parser<I,alloc::vec::Vec<O>>>::parse_inner::{{closure}}
    4785 (2.6%)   175 (2.8%)  <chumsky::combinator::Or<A,B> as chumsky::Parser<I,O>>::parse_inner::{{closure}}
    4285 (2.3%)    66 (1.1%)  <chumsky::combinator::Map<A,F,O> as chumsky::Parser<I,U>>::parse_inner
    3186 (1.7%)     6 (0.1%)  <chumsky::recovery::NestedDelimiters<I,F,_> as chumsky::recovery::Strategy<I,O,E>>::recover
    2960 (1.6%)    20 (0.3%)  <chumsky::combinator::Repeated<A> as chumsky::Parser<I,alloc::vec::Vec<O>>>::parse_inner
    2862 (1.6%)    66 (1.1%)  <chumsky::combinator::Map<A,F,O> as chumsky::Parser<I,U>>::parse_inner::{{closure}}
    1764 (1.0%)    32 (0.5%)  core::iter::traits::iterator::Iterator::fold
    1696 (0.9%)    16 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1446 (0.8%)    29 (0.5%)  core::option::Option<T>::map_or
    1434 (0.8%)    18 (0.3%)  <chumsky::recovery::NestedDelimiters<I,F,_> as chumsky::recovery::Strategy<I,O,E>>::recover::{{closure}}
    1362 (0.7%)     1 (0.0%)  lang_frontend::inferer::Inferer::generate_constraints
    1346 (0.7%)     2 (0.0%)  <chumsky::combinator::SeparatedBy<A,B,U> as chumsky::Parser<I,alloc::vec::Vec<O>>>::parse_inner
    1302 (0.7%)    41 (0.7%)  chumsky::stream::Stream<I,S>::attempt
    1228 (0.7%)     1 (0.0%)  lang_frontend::parser::expresion_parser::{{closure}}
    1070 (0.6%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1070 (0.6%)     1 (0.0%)  <lang_frontend::ast::Ast as core::fmt::Display>::fmt
    1011 (0.6%)     6 (0.1%)  <chumsky::primitive::Filter<F,E> as chumsky::Parser<I,I>>::parse_inner
     988 (0.5%)     4 (0.1%)  <chumsky::primitive::FilterMap<F,E> as chumsky::Parser<I,O>>::parse_inner
     934 (0.5%)     4 (0.1%)  <chumsky::primitive::Just<I,C,E> as chumsky::Parser<I,C>>::parse_inner
     867 (0.5%)    17 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     853 (0.5%)     9 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     821 (0.4%)    25 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     811 (0.4%)    25 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
     806 (0.4%)    17 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     765 (0.4%)     9 (0.1%)  <chumsky::combinator::MapWithSpan<A,F,O> as chumsky::Parser<I,U>>::parse_inner
     720 (0.4%)    16 (0.3%)  core::alloc::layout::Layout::array
     708 (0.4%)    17 (0.3%)  core::option::Option<T>::map
     704 (0.4%)     8 (0.1%)  <chumsky::recovery::Recovery<A,S> as chumsky::Parser<I,O>>::parse_inner
     685 (0.4%)     7 (0.1%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
     684 (0.4%)     9 (0.1%)  <chumsky::combinator::MapWithSpan<A,F,O> as chumsky::Parser<I,U>>::parse_inner::{{closure}}
     662 (0.4%)    22 (0.4%)  alloc::alloc::box_free
     646 (0.4%)    19 (0.3%)  chumsky::stream::Stream<I,S>::try_parse::{{closure}}
     634 (0.3%)     4 (0.1%)  <chumsky::combinator::OrNot<A> as chumsky::Parser<I,core::option::Option<O>>>::parse_inner
     629 (0.3%)    11 (0.2%)  lang_frontend::parser::expresion_parser::{{closure}}::{{closure}}
     594 (0.3%)    11 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     572 (0.3%)    13 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
     569 (0.3%)    15 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     563 (0.3%)    37 (0.6%)  core::ptr::read
     563 (0.3%)    11 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     554 (0.3%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::rehash_in_place
     530 (0.3%)    24 (0.4%)  core::iter::traits::iterator::Iterator::for_each
     522 (0.3%)     6 (0.1%)  lang_frontend::parser::parse_with_less_precedence::{{closure}}
     522 (0.3%)     1 (0.0%)  lang_frontend::inferer::Inferer::unify_one
     520 (0.3%)    70 (1.1%)  <chumsky::combinator::Or<A,B> as chumsky::Parser<I,O>>::parse_inner::{{closure}}::{{closure}}
     519 (0.3%)   170 (2.8%)  <chumsky::debug::Silent as chumsky::debug::Debugger>::invoke
     492 (0.3%)    12 (0.2%)  core::option::Option<T>::get_or_insert_with
     483 (0.3%)    21 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     473 (0.3%)    11 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     468 (0.3%)    21 (0.3%)  core::mem::replace
     468 (0.3%)    12 (0.2%)  <chumsky::combinator::Foldl<A,F,O,U> as chumsky::Parser<I,O>>::parse_inner::{{closure}}
     448 (0.2%)     4 (0.1%)  chumsky::stream::Stream<I,S>::skip_if
     440 (0.2%)     4 (0.1%)  chumsky::error::Located<I,E>::max
     425 (0.2%)    17 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     420 (0.2%)     7 (0.1%)  core::iter::adapters::map::map_try_fold::{{closure}}
     417 (0.2%)    32 (0.5%)  core::ops::function::FnOnce::call_once
     414 (0.2%)     6 (0.1%)  <chumsky::combinator::DelimitedBy<A,L,R,U,V> as chumsky::Parser<I,O>>::parse_inner
     410 (0.2%)    38 (0.6%)  chumsky::Parser::map
     403 (0.2%)    11 (0.2%)  alloc::vec::Vec<T,A>::push
     396 (0.2%)     3 (0.0%)  chumsky::error::merge_alts
     390 (0.2%)    11 (0.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     383 (0.2%)    47 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
     381 (0.2%)     8 (0.1%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::Extend<(K,V)>>::extend
     376 (0.2%)     5 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     368 (0.2%)    10 (0.2%)  alloc::rc::Rc<T>::new
     364 (0.2%)     7 (0.1%)  <I as alloc::vec::source_iter_marker::SpecInPlaceCollect<T,I>>::collect_in_place
     362 (0.2%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::resize
     356 (0.2%)     2 (0.0%)  <chumsky::error::Simple<I,S> as chumsky::error::Error<I>>::merge
     352 (0.2%)     1 (0.0%)  lang_frontend::parse
     348 (0.2%)     2 (0.0%)  <chumsky::recovery::SkipThenRetryUntil<I,_> as chumsky::recovery::Strategy<I,O,E>>::recover
     341 (0.2%)    11 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     330 (0.2%)     4 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
     324 (0.2%)     4 (0.1%)  <chumsky::combinator::Label<A,L> as chumsky::Parser<I,O>>::parse_inner
     324 (0.2%)     2 (0.0%)  <chumsky::combinator::SeparatedBy<A,B,U> as chumsky::Parser<I,alloc::vec::Vec<O>>>::parse_inner::parse_or_not
     322 (0.2%)     6 (0.1%)  lang_frontend::parser::parse_with_less_precedence
     322 (0.2%)     2 (0.0%)  chumsky::error::Simple<I,S>::map
     322 (0.2%)     2 (0.0%)  chumsky::parse_recovery_inner
     319 (0.2%)    22 (0.4%)  chumsky::Parser::then
     318 (0.2%)    21 (0.3%)  chumsky::Parser::or
     316 (0.2%)     6 (0.1%)  core::result::Result<T,E>::map_err
     312 (0.2%)    12 (0.2%)  core::ptr::const_ptr::<impl *const T>::offset_from
     311 (0.2%)    38 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     309 (0.2%)   100 (1.6%)  <chumsky::debug::Verbose as chumsky::debug::Debugger>::invoke
     308 (0.2%)     2 (0.0%)  <chumsky::combinator::SeparatedBy<A,B,U> as chumsky::Parser<I,alloc::vec::Vec<O>>>::parse_inner::parse
     308 (0.2%)     2 (0.0%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
     304 (0.2%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::rehash_in_place::{{closure}}
     303 (0.2%)     1 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
     299 (0.2%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
     298 (0.2%)     2 (0.0%)  <chumsky::primitive::End<E> as chumsky::Parser<I,()>>::parse_inner
     291 (0.2%)    24 (0.4%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     289 (0.2%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
     284 (0.2%)     1 (0.0%)  <chumsky::primitive::TakeUntil<A> as chumsky::Parser<I,(alloc::vec::Vec<I>,O)>>::parse_inner
     270 (0.1%)    13 (0.2%)  chumsky::Parser::repeated
     267 (0.1%)     1 (0.0%)  lang_frontend::tokenizer::tokenizer
     260 (0.1%)    26 (0.4%)  core::iter::adapters::map::Map<I,F>::new
     260 (0.1%)     2 (0.0%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::size_hint
     258 (0.1%)     2 (0.0%)  <chumsky::text::Padded<A> as chumsky::Parser<C,O>>::parse_inner
     252 (0.1%)    14 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
     247 (0.1%)    19 (0.3%)  alloc::raw_vec::RawVec<T,A>::capacity
     243 (0.1%)     1 (0.0%)  <lang_frontend::ast::Ast as core::clone::Clone>::clone
     240 (0.1%)     4 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     237 (0.1%)    11 (0.2%)  <chumsky::combinator::Then<A,B> as core::clone::Clone>::clone
     236 (0.1%)     5 (0.1%)  <chumsky::error::Simple<I,S> as chumsky::error::Error<I>>::expected_input_found
     234 (0.1%)    10 (0.2%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     234 (0.1%)     1 (0.0%)  core::char::methods::encode_utf8_raw
     233 (0.1%)     1 (0.0%)  std::thread::Builder::spawn_unchecked
     232 (0.1%)    37 (0.6%)  core::ptr::unique::Unique<T>::cast
     232 (0.1%)     8 (0.1%)  <chumsky::combinator::Label<A,L> as chumsky::Parser<I,O>>::parse_inner::{{closure}}::{{closure}}
     232 (0.1%)     4 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     231 (0.1%)     7 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     228 (0.1%)    19 (0.3%)  chumsky::stream::Stream<I,S>::try_parse
     227 (0.1%)     6 (0.1%)  core::slice::iter::Iter<T>::new
     226 (0.1%)     1 (0.0%)  <ahash::fallback_hash::AHasher as core::hash::Hasher>::write
     225 (0.1%)     1 (0.0%)  <lang_frontend::ast::Ast as core::fmt::Debug>::fmt
     221 (0.1%)    61 (1.0%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     220 (0.1%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
     217 (0.1%)    23 (0.4%)  core::ops::function::Fn::call
     217 (0.1%)     4 (0.1%)  chumsky::Parser::chain::{{closure}}
     216 (0.1%)    12 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     213 (0.1%)     1 (0.0%)  lang_frontend::parser::expresion_parser::{{closure}}::{{closure}}::{{closure}}
     212 (0.1%)     5 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     210 (0.1%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::find
     207 (0.1%)     9 (0.1%)  core::fmt::ArgumentV1::new
     207 (0.1%)     9 (0.1%)  core::ptr::metadata::from_raw_parts
     205 (0.1%)     4 (0.1%)  <alloc::rc::Rc<T> as core::ops::drop::Drop>::drop
     200 (0.1%)     4 (0.1%)  alloc::vec::source_iter_marker::write_in_place_with_drop::{{closure}}
     199 (0.1%)     2 (0.0%)  chumsky::stream::Stream<I,S>::next
     198 (0.1%)     8 (0.1%)  <std::collections::hash::set::HashSet<T,S> as core::iter::traits::collect::FromIterator<T>>::from_iter
     198 (0.1%)     5 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
     197 (0.1%)    26 (0.4%)  core::ptr::non_null::NonNull<T>::cast
     194 (0.1%)    13 (0.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     193 (0.1%)    41 (0.7%)  core::ptr::write
     189 (0.1%)    21 (0.3%)  core::ptr::slice_from_raw_parts_mut
     187 (0.1%)    11 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     186 (0.1%)     2 (0.0%)  chumsky::stream::Stream<I,S>::span_since
     184 (0.1%)     8 (0.1%)  chumsky::error::Located<I,E>::map
     182 (0.1%)     8 (0.1%)  chumsky::Parser::then_ignore
     182 (0.1%)     1 (0.0%)  <chumsky::primitive::OneOf<I,C,E> as chumsky::Parser<I,I>>::parse_inner
     180 (0.1%)    12 (0.2%)  <chumsky::combinator::Foldl<A,F,O,U> as chumsky::Parser<I,O>>::parse_inner
     180 (0.1%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     180 (0.1%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::drop_elements
     179 (0.1%)     4 (0.1%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     178 (0.1%)     1 (0.0%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
     176 (0.1%)    16 (0.3%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     172 (0.1%)     3 (0.0%)  alloc::vec::Vec<T,A>::extend_desugared
     170 (0.1%)    40 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     170 (0.1%)     2 (0.0%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::size_hint
     168 (0.1%)     9 (0.1%)  chumsky::Parser::boxed
     168 (0.1%)     4 (0.1%)  <chumsky::primitive::FilterMap<F,E> as chumsky::Parser<I,O>>::parse_inner::{{closure}}
     168 (0.1%)     2 (0.0%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     165 (0.1%)    25 (0.4%)  core::iter::adapters::map::map_fold
     165 (0.1%)     3 (0.0%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     163 (0.1%)    15 (0.2%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     161 (0.1%)     6 (0.1%)  <chumsky::combinator::Repeated<A> as core::clone::Clone>::clone
     161 (0.1%)     1 (0.0%)  <lang_frontend::tokenizer::Token as core::cmp::PartialEq>::eq
     161 (0.1%)     1 (0.0%)  <lang_frontend::tokenizer::Token as core::cmp::PartialEq>::ne
     158 (0.1%)    26 (0.4%)  core::iter::traits::iterator::Iterator::map
     157 (0.1%)     4 (0.1%)  lang_frontend::tokenizer::tokenizer::{{closure}}
     156 (0.1%)    24 (0.4%)  core::iter::traits::iterator::Iterator::collect
     156 (0.1%)     2 (0.0%)  chumsky::recursive::recursive
     155 (0.1%)     5 (0.1%)  core::result::Result<T,E>::err
     155 (0.1%)     1 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
     154 (0.1%)    11 (0.2%)  alloc::vec::into_iter::IntoIter<T,A>::as_raw_mut_slice
     153 (0.1%)    17 (0.3%)  alloc::vec::Vec<T,A>::as_mut_ptr
